代號,名稱,市場別,產業別,市值,市值佔大盤比重,ETF_0050_權重,ETF_0056_權重,ETF_00878_權重,ETF_00919_權重,主要業務,TSMC概念,nVidia概念,Broadcom概念,Google概念,Amazon概念,Meta概念,OpenAI概念,Microsoft概念,AMD概念,Apple概念,Oracle概念,Micron概念,SanDisk概念,Qualcomm概念,Lenovo概念,Dell概念,HPQ概念,HPE概念,Intel概念,ARM概念,相關集團,download_timestamp,process_timestamp
6285,啟碁,上市,通信網路業,"1,126.94億",,,0.9,,,衛星通訊系列產品移動與攜帶產品之通訊系列產品上述產品相關之進出口貿易業務,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
6462,神盾,上櫃,半導體業,117.71億,,,,,,I301010 資訊軟體服務業I301020 資料處理服務業I301030 電子資訊供應服務業,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
9914,美利達,上市,運動休閒,168.63億,,,,,,自行車及其零組件製造買賣.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
9921,巨大,上市,運動休閒,269.74億,,,,,,自行車及零配件製造、加工與銷售。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
8272,全景軟體,上櫃,資訊服務業,13.11億,,,,,,資訊軟體服務業資料處理服務業電子資訊供應服務業,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
8299,群聯,上櫃,半導體業,"5,140.24億",,,,,,IC設計業半導體業電腦及週邊設備業,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
5434,崇越,上市,電子通路業,813.16億,,,,,,半導體與光電相關產品電子材料環境工程,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
6526,達發,上市,半導體業,"1,097.16億",,,,,,無線通訊晶片固網通訊晶片,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
2301,光寶科,上市,電腦及週邊設備業,"4,286.04億",,0.39,2.77,2.34,,電腦資訊系統及週邊設備之製造加工及買賣業務多功能事務機、資料儲存設備之製造加工及買賣業務網路設備、系統設備及其他影像處理設備之製造加工及買賣業務,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
3035,智原,上市,半導體業,472.9億,,,,,,特殊應用積體電路設計(ASIC)特殊應用積體電路設計用矽智財及系統平台(IP &amp; System Platform)特殊應用積體電路電子設計、自動化軟體工具(ASIC EDA Tools),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
5269,祥碩,上市,半導體業,"1,002.01億",,,,,,高速介面控制晶片及裝置端高速控制晶片之設計,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
6669,緯穎,上市,電腦及週邊設備業,"9,236.29億",,0.56,,,,資料中心產品,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
6695,芯鼎,上市,半導體業,47.17億,,,,,,產品設計業電子零組件製造業國際貿易業,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
6561,是方,上櫃,通信網路業,259.6億,,,,,,IDC機房服務、數據網路服務、雲端應用服務、語音通信服務,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
7765,中華資安,上市,數位雲端,99.26億,,,,,,資安專業服務上網資安資安商品銷售,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
3150,鈺寶-創,上市臺灣創新板,半導體業,8.23億,,,,,,產品設計業無線通信機械器材製造業電子零組件製造業,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
2646,星宇航空,上市,航運業,610.77億,,,,,,民用航空運輸業民用航空人員訓練業、酒類輸入業除許可業務外，得經營法令非禁止或限制之業務,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
4953,緯軟,上櫃,資訊服務業,90.34億,,,,,,軟體外包服務,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
6231,系微,上櫃,資訊服務業,137.87億,,,,,,電腦基本輸入輸出系統，基板管理控制系統及其相關軟體,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
9917,中保科,上市,其他業,512.11億,,,,,,防盜、防火、防災之安全防護、系統諮詢顧問及其設備整合技術服務現金或其他貴重物品運送及人身之安全維護,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
3558,神準,上櫃,通信網路業,64.97億,,,,,,無線網路系統產品與服務(Wi-Fi)之設計開發、製造及買賣有線網路系統產品與服務(Switch)之設計開發、製造及買賣企業無線通訊系統產品之設計開發、製造及買賣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
2450,神腦,上市,通信網路業,76.44億,,,,,,通訊產品之代理及買賣行動電話及相關配件之代理及買賣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
2303,聯電,上市,半導體業,1.15兆,,1.17,5.88,8.65,11.09,積體電路各種半導體相關零組件,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
7708,全家餐飲,上櫃,觀光餐旅,23.28億,,,,,,餐飲服務業,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
6613,朋億,上櫃,其他電子業,192.56億,,,,,,高科技產業製程系統、設備製造、安裝及銷售,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-05-06 10:38:08,2026-05-06 10:38:08
